Cd-Artist/Band;Title;Year;Album;SongWriter;Lead vocal(s);
Beatles;12-Bar Original;1965;Anthology 2;Lennon, McCartney, Harrison and Starkey;N/A;
Beatles;A Day in the Life;1967;Sgt. Pepper's Lonely Hearts Club Band;Lennon and McCartney;Lennon and McCartney;
Beatles;A Hard Day's Night;1964;A Hard Day's Night;Lennon;Lennon and McCartney;
Beatles;A Shot of Rhythm and Blues;1963;Live at the BBC;Terry Thompson;Lennon;
Beatles;A Taste of Honey;1963;Please Please Me;Scott, Marlow;McCartney;
Beatles;Across the Universe;1968;Let It Be;Lennon;Lennon;
Beatles;Act Naturally;1965;Help!;Russell, Morrison;Starkey;
Beatles;Ain't She Sweet;1961;Anthology 1;Yellen, Ager;Lennon;
Beatles;All I've Got to Do;1963;With the Beatles;Lennon;Lennon;
Beatles;All My Loving;1963;With the Beatles;McCartney;McCartney;
Beatles;All Things Must Pass;1969;Anthology 3;Harrison;Harrison;
Beatles;All Together Now;1967;Yellow Submarine;McCartney, with Lennon;McCartney, with Lennon;
Beatles;All You Need Is Love;1967;Magical Mystery Tour;Lennon;Lennon;
Beatles;And I Love Her;1964;A Hard Day's Night;McCartney;McCartney;
Beatles;And Your Bird Can Sing;1966;Revolver;Lennon;Lennon;
Beatles;Anna (Go to Him);1963;Please Please Me;Alexander;Lennon;
Beatles;Another Girl;1965;Help!;McCartney;McCartney;
Beatles;Any Time at All;1964;A Hard Day's Night;Lennon, with McCartney;Lennon, with McCartney;
Beatles;Ask Me Why;1962;Please Please Me;Lennon;Lennon;
Beatles;Baby It's You;1963;Please Please Me;Bacharach, David, Dixon;Lennon;
Beatles;Baby, You're a Rich Man;1967;Magical Mystery Tour;Lennon and McCartney;Lennon;
Beatles;Baby's in Black;1964;Beatles for Sale;Lennon and McCartney;Lennon and McCartney;
Beatles;Back in the U.S.S.R.;1968;The Beatles;McCartney;McCartney;
Beatles;Bad Boy;1965;Past Masters Volume 1;Williams;Lennon;
Beatles;Because;1969;Abbey Road;Lennon;Lennon, McCartney, Harrison;
Beatles;Being for the Benefit of Mr. Kite!;1967;Sgt. Pepper's Lonely Hearts Club Band;Lennon;Lennon;
Beatles;B‚same Mucho;1962;Anthology 1;Vel zquez, Skylar;McCartney;
Beatles;Birthday;1968;The Beatles;McCartney, with Lennon;McCartney, with Lennon;
Beatles;Blackbird;1968;The Beatles;McCartney;McCartney;
Beatles;Blue Jay Way;1967;Magical Mystery Tour;Harrison;Harrison;
Beatles;Boys;1963;Please Please Me;Dixon, Farrell;Starkey (Best);
Beatles;Can't Buy Me Love;1964;A Hard Day's Night;McCartney;McCartney;
Beatles;Carol;1963;Live at the BBC;Berry;Lennon;
Beatles;Carry That Weight;1969;Abbey Road;McCartney;Lennon, McCartney, Harrison and Starkey;
Beatles;Cayenne;1960;Anthology 1;McCartney;N/A;
Beatles;Chains;1963;Please Please Me;Goffin, King;Harrison;
Beatles;Christmas Time (Is Here Again);1967;The Beatles' Christmas Album;Lennon, McCartney, Harrison and Starkey;Lennon, McCartney, Harrison and Starkey;
Beatles;Clarabella;1963;Live at the BBC;Pingatore;McCartney;
Beatles;Come and Get It;1969;Anthology 3;McCartney;McCartney;
Beatles;Come Together;1969;Abbey Road;Lennon;Lennon;
Beatles;Cry Baby Cry;1968;The Beatles;Lennon, with McCartney;Lennon, with McCartney;
Beatles;Cry for a Shadow;1961;Anthology 1;Lennon and Harrison;N/A;
Beatles;Crying, Waiting, Hoping;1963;Live at the BBC;Buddy Holly;Harrison;
Beatles;Day Tripper;1965;Past Masters Volume 2;Lennon, with McCartney;Lennon and McCartney;
Beatles;Dear Prudence;1968;The Beatles;Lennon;Lennon;
Beatles;Devil in Her Heart;1963;With the Beatles;Drapkin (aka Ricky Dee);Harrison;
Beatles;Dig a Pony;1969;Let It Be;Lennon;Lennon;
Beatles;Dig It;1969;Let It Be;Lennon, McCartney, Harrison and Starkey;Lennon;
Beatles;Dizzy Miss Lizzy;1965;Help!;Williams;Lennon;
Beatles;Do You Want to Know a Secret;1963;Please Please Me;Lennon;Harrison;
Beatles;Doctor Robert;1966;Revolver;Lennon,;Lennon;
Beatles;Don't Bother Me;1963;With the Beatles;Harrison;Harrison;
Beatles;Don't Ever Change;1963;Live at the BBC;Goffin, King;Harrison;
Beatles;Don't Let Me Down;1969;Past Masters Volume 2;Lennon;Lennon;
Beatles;Don't Pass Me By;1968;The Beatles;Starkey;Starkey;
Beatles;Drive My Car;1965;Rubber Soul;McCartney, with Lennon;McCartney;
Beatles;Eight Days a Week;1964;Beatles for Sale;Lennon and McCartney;Lennon;
Beatles;Eleanor Rigby;1966;Revolver;McCartney, with Lennon;McCartney;
Beatles;Every Little Thing;1964;Beatles for Sale;McCartney;Lennon and McCartney;
Beatles;Everybody's Got Something to Hide Except Me and My Monkey;1968;The Beatles;Lennon;Lennon;
Beatles;Everybody's Trying to Be My Baby;1964;Beatles for Sale;Perkins;Harrison;
Beatles;Fixing a Hole;1967;Sgt. Pepper's Lonely Hearts Club Band;McCartney;McCartney;
Beatles;Flying;1967;Magical Mystery Tour;Lennon, McCartney, Harrison and Starkey;N/A;
Beatles;For No One;1966;Revolver;McCartney;McCartney;
Beatles;For You Blue;1969;Let It Be;Harrison;Harrison;
Beatles;Free as a Bird;1995;Anthology 1;Lennon, with McCartney, Harrison and Starkey;Lennon, McCartney and Harrison;
Beatles;From Me to You;1963;Past Masters Volume 1;Lennon and McCartney;Lennon and McCartney;
Beatles;From Us to You;1963;Live at the BBC;Lennon and McCartney;Lennon and McCartney;
Beatles;Get Back;1969;Let It Be;McCartney;McCartney;
Beatles;Getting Better;1967;Sgt. Pepper's Lonely Hearts Club Band;McCartney, with Lennon;McCartney;
Beatles;Girl;1965;Rubber Soul;Lennon,;Lennon;
Beatles;Glad All Over;1963;Live at the BBC;Bennett, Tepper, Schroeder;Harrison;
Beatles;Glass Onion;1968;The Beatles;Lennon;Lennon;
Beatles;Golden Slumbers;1969;Abbey Road;McCartney;McCartney;
Beatles;Good Day Sunshine;1966;Revolver;McCartney;McCartney;
Beatles;Good Morning Good Morning;1967;Sgt. Pepper's Lonely Hearts Club Band;Lennon;Lennon;
Beatles;Good Night;1968;The Beatles;Lennon;Starkey;
Beatles;Got to Get You into My Life;1966;Revolver;McCartney;McCartney;
Beatles;Hallelujah, I Love Her So;1960;Anthology 1;Charles;McCartney;
Beatles;Happiness Is a Warm Gun;1968;The Beatles;Lennon;Lennon;
Beatles;Hello, Goodbye;1967;Magical Mystery Tour;McCartney;McCartney;
Beatles;Hello Little Girl;1962;Anthology 1;Lennon;Lennon;
Beatles;Help!;1965;Help!;Lennon;Lennon;
Beatles;Helter Skelter;1968;The Beatles;McCartney;McCartney;
Beatles;Her Majesty;1969;Abbey Road;McCartney;McCartney;
Beatles;Here Comes the Sun;1969;Abbey Road;Harrison;Harrison;
Beatles;Here, There and Everywhere;1966;Revolver;McCartney;McCartney;
Beatles;Hey Bulldog;1968;Yellow Submarine;Lennon, with McCartney;Lennon;
Beatles;Hey Jude;1968;Past Masters Volume 2;McCartney;McCartney;
Beatles;Hippy Hippy Shake;1963;Live at the BBC;Romero;McCartney;
Beatles;Hold Me Tight;1963;With the Beatles;McCartney;McCartney;
Beatles;Honey Don't;1964;Beatles for Sale;Perkins;Starkey;
Beatles;Honey Pie;1968;The Beatles;McCartney;McCartney;
Beatles;How Do You Do It?;1962;Anthology 1;Murray;Lennon;
Beatles;I Am the Walrus;1967;Magical Mystery Tour;Lennon;Lennon;
Beatles;I Call Your Name;1964;Past Masters Volume 1;Lennon;Lennon;
Beatles;I Don't Want to Spoil the Party;1964;Beatles for Sale;Lennon;Lennon;
Beatles;I Feel Fine;1964;Past Masters Volume 1;Lennon;Lennon;
Beatles;I Forgot to Remember to Forget;1964;Live at the BBC;Stan Kesler and Charlie Feathers;Harrison;
Beatles;I Got a Woman;1963;Live at the BBC;Charles;Lennon;
Beatles;I Got to Find My Baby;1963;Live at the BBC;Berry;Lennon;
Beatles;I Just Don't Understand;1963;Live at the BBC;Wilkin, Westberry;Lennon;
Beatles;I Me Mine;1970;Let It Be;Harrison;Harrison;
Beatles;I Need You;1965;Help!;Harrison;Harrison;
Beatles;I Saw Her Standing There;1963;Please Please Me;McCartney, with Lennon;McCartney, with Lennon;
